X (in.)	Y (in.)	Theta (rad.)
0.0	0.0	0.0
0.0	0.0	0.0
0.0	0.0	0.0
-28.544786249782003	-54.179144999128006	0.0
-28.544786249782003	-54.179144999128006	0.0
-28.544786249782003	-54.179144999128006	0.0
-28.544786249782003	-54.179144999128006	0.0
-28.544786249782003	-54.179144999128006	0.0
-28.544786249782003	-54.179144999128006	0.0
-28.432074892125296	-53.728299568501185	0.0
-28.202704709602447	-52.810818838409794	0.0
-28.000927087178233	-52.00370834871293	0.0
-27.79478832003332	-51.179153280133285	0.0
-27.56523325416498	-50.26093301665991	0.0
-27.33569507817624	-49.34278031270496	0.0
-27.10617379620994	-48.424695184839756	0.0
-26.876669412999057	-47.50667765199622	0.0
-26.657776227186282	-46.63110490874514	0.0
-26.440949154283008	-45.76379661713202	0.0
-26.211331431578973	-44.84532572631589	0.0
-25.981716945799256	-43.926867783197025	0.0
-25.75210569751728	-43.008422790069126	0.0
-25.522497687328233	-42.08999074931293	0.0
-25.29925627216101	-41.19702508864404	0.0
-25.075974900618895	-40.30389960247558	0.0
-24.84630089686928	-39.38520358747713	0.0
-24.616627305841064	-38.466509223364255	0.0
-24.38695412756463	-37.54781651025852	0.0
-24.157281362070723	-36.62912544828289	0.0
-23.997415366680816	-35.68984400169767	0.0
-23.989263865063574	-34.71166380762905	0.0
-23.981184764980657	-33.7421717976788	0.0
-23.973176304053258	-32.7811564863908	0.0
-23.968086272729863	-32.170352727583726	0.0
-23.962782943595037	-31.53395323140446	0.0
-23.954846756175385	-30.58161074104636	0.0
-23.94693641212399	-29.632369454878855	0.0
-23.941086057144904	-28.930326857388657	0.0
-23.93494277467554	-28.19313296106494	0.0
-23.927048306496246	-27.245796779549366	0.0
-23.919161878607646	-26.299425432917715	0.0
-23.911864490965762	-25.42373891589142	0.0
-23.905368465893343	-24.644215907201207	0.0
-25.59251168166665	-23.97345813863889	0.0
-25.59251168166665	-23.97345813863889	0.0
-25.59251168166665	-23.97345813863889	0.0
-25.59251168166665	-23.97345813863889	0.0
-27.70543861145699	-23.93824268980905	0.0
-27.70543861145699	-23.93824268980905	0.0
-27.70543861145699	-23.93824268980905	0.0
-28.652724151659754	-23.92245459747234	0.0
-28.652724151659754	-23.92245459747234	0.0
-29.93559614937794	-23.901073397510366	0.0
-29.991169864172434	-23.90014716893046	0.0
-29.987822845897842	-22.538741507741026	0.0
-29.987822845897842	-22.538741507741026	0.0
-29.987822845897842	-22.538741507741026	0.0
-29.977820780385528	-21.338493646263238	0.0
-29.96864460249992	-20.237352299990615	0.0
-29.96864460249992	-20.237352299990615	0.0
-29.966749509220893	-20.009941106507306	0.0
-29.958042693453187	-18.96512321438252	0.0
-29.949600159071377	-17.952019088565137	0.0
-29.946219320269478	-17.54631843233744	0.0
-29.94088237129514	-16.90588455541685	0.0
-29.93274482124361	-15.929378549233018	0.0
-29.926928876114026	-15.231465133683276	0.0
-29.92306503583993	-14.7678043007916	0.0
-29.91507083290449	-13.80849994853892	0.0
-29.907122712687457	-12.854725522494977	0.0
-29.902132164029553	-12.255859683546515	0.0
-31.781108140145644	-11.994062972866182	0.0
-31.781108140145644	-11.994062972866182	0.0
-31.781108140145644	-11.994062972866182	0.0
-32.01613821274995	-11.993279539290834	0.0
-33.763317680572584	-11.987455607731425	0.0
-33.763317680572584	-11.987455607731425	0.0
-33.763317680572584	-11.987455607731425	0.0
-35.10572063120047	-11.982980931229331	0.0
-35.10572063120047	-11.982980931229331	0.0
-36.24611154992982	-11.9791796281669	0.0
-36.288080219285405	-11.979039732602383	0.0
-37.38635201192077	-11.97537882662693	0.0
-37.94251577321076	-11.97352494742263	0.0
-38.17371143790427	-11.972754295206986	0.0
-39.19582234964728	-11.96934725883451	0.0
-40.19047741974332	-11.966031741934188	0.0
-40.19047741974332	-11.966031741934188	0.0
-41.17213118085728	-11.962759562730476	0.0
-42.142239543646596	-11.959525868187844	0.0
-42.84580288232617	-11.957180657058913	0.0
-43.35203409943367	-11.955493219668554	0.0
-44.3082140904788	-11.952305953031738	0.0
-45.25986081271456	-11.949133797290951	0.0
-45.87536829269146	-11.94708210569103	0.0
-46.613835199739746	-11.944620549334202	0.0
-47.56230949265774	-11.941458968357807	0.0
-48.50935749985317	-11.938302141667156	0.0
-49.35908256852112	-11.935469724771597	0.0
-50.103839926139614	-11.9329872002462	0.0
-51.03268725967327	-11.929891042467755	0.0
-51.97865325417842	-11.926737822486071	0.0
-52.88053518185696	-11.92373154939381	0.0
-53.69512245450877	-11.92101625848497	0.0
-54.61512900224569	-11.917949569992514	0.0
-55.56134998877835	-11.914795500037405	0.0
-56.50745025533697	-11.91164183248221	0.0
-57.409762210872735	-11.908634125963758	0.0
-58.28605848245056	-11.905713138391832	0.0
-59.23264381318552	-11.902557853956049	0.0
-59.992502018637914	-10.200484473100031	0.0
-59.992502018637914	-10.200484473100031	0.0
-59.992502018637914	-10.200484473100031	0.0
-59.9831709959354	-7.961039024496637	0.0
-59.9831709959354	-7.961039024496637	0.0
-59.9831709959354	-7.961039024496637	0.0
-59.9831709959354	-7.961039024496637	0.0
-59.977115542192855	-6.507730126285102	0.0
-59.977115542192855	-6.507730126285102	0.0
-59.97352892452914	-5.646941886994259	0.0
-59.97116727353566	-5.080145648559704	0.0
-59.969369250843165	-4.648620202359025	0.0
-59.965206146984755	-3.6494752763417093	0.0
-59.96455159327173	-3.4923823852157128	0.0
-59.96034286188033	-2.4822868512789267	0.0
-59.95745797618283	-1.7899142838794369	0.0
-59.95660787284283	-1.5858894822787715	0.0
-59.952475601016246	-0.5941442438983042	0.0
-59.9484089600525	0.3818495874000991	0.0
-59.94669061336205	0.794252793108229	0.0
-59.943638004591065	1.5268788981448438	0.0
-59.93964081681591	2.4862039641814464	0.0
-59.935998581168136	3.3603405196476137	0.0
-59.93394189941107	3.8539441413430797	0.0
-59.930345535316114	4.717071524132708	0.0
-59.926390319113736	5.666323412703618	0.0
-59.922444008640745	6.613437926221163	0.0
-59.91966843757234	7.279574982638829	0.0
-59.916343533406305	8.077551982485996	0.0
-59.91239858719456	9.024339073305432	0.0
-59.908455969231326	9.970567384481267	0.0
-59.904515678485126	10.91623716357013	0.0
-59.90115891357788	11.72186074130932	0.0
-59.904515678485126	10.91623716357013	0.0
-59.90115891357788	11.72186074130932	0.0
-59.904515678485126	10.91623716357013	0.0
-59.90115891357788	11.72186074130932	0.0
-59.904515678485126	10.91623716357013	0.0
-59.90115891357788	11.72186074130932	0.0
-59.904515678485126	10.91623716357013	0.0
-59.90115891357788	11.72186074130932	0.0
-59.904515678485126	10.91623716357013	0.0
-59.90115891357788	11.72186074130932	0.0
-59.904515678485126	10.91623716357013	0.0
-59.90115891357788	11.72186074130932	0.0
-59.904515678485126	10.91623716357013	0.0
-59.90115891357788	11.72186074130932	0.0
-59.904515678485126	10.91623716357013	0.0
-59.90115891357788	11.72186074130932	0.0
-59.904515678485126	10.91623716357013	0.0
-59.90115891357788	11.72186074130932	0.0
-59.904515678485126	10.91623716357013	0.0
-59.90115891357788	11.72186074130932	0.0
-59.904515678485126	10.91623716357013	0.0
-59.90115891357788	11.72186074130932	0.0
-59.904515678485126	10.91623716357013	0.0
-59.90115891357788	11.72186074130932	0.0
-59.904515678485126	10.91623716357013	0.0
-59.90115891357788	11.72186074130932	0.0
-59.904515678485126	10.91623716357013	0.0
-59.90115891357788	11.72186074130932	0.0
-59.904515678485126	10.91623716357013	0.0
-59.90115891357788	11.72186074130932	0.0
-59.904515678485126	10.91623716357013	0.0
-59.90115891357788	11.72186074130932	0.0
-59.904515678485126	10.91623716357013	0.0
-59.90115891357788	11.72186074130932	0.0
-59.904515678485126	10.91623716357013	0.0
-59.90115891357788	11.72186074130932	0.0
-59.904515678485126	10.91623716357013	0.0
-59.90115891357788	11.72186074130932	0.0
-59.904515678485126	10.91623716357013	0.0
